584,6129,1279,1374,24,26
9238,14,11940,0,487,0
13428,42135,31445,16967,225,679
6980,33298,18366,15791,129,446
7312,12645,8667,13985,99,156
9063,6337,7576,17759,60,102
10038,7526,12700,12476,53,88
16177,17916,22113,14680,154,195
21865,14353,13867,16619,102,577
24655,13730,13892,17721,132,652
27136,14395,15501,20108,228,1088
33970,17973,19838,25528,424,1648
31677,19402,21569,28364,561,1509
34261,19969,22493,30102,606,1473
32294,22071,25647,29467,923,1461
30731,27664,28940,30769,1320,1144
29159,31809,31632,31603,2073,729
36331,39048,37616,36300,2259,386
27509,38733,29782,33233,967,231
19104,29573,24676,23310,771,183
15734,28130,23580,18451,421,147
17478,33138,29255,17491,355,141
12643,40641,26064,16311,125,172
5835,19827,9370,7049,40,103
455,7719,1614,2289,0,30
2,35,0,0,0,0
0,0,2,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
955,3,437,9,0,0
5951,2089,2091,3064,20,12
11779,4406,4404,5827,40,60
20793,7874,7695,13555,91,283
24856,10253,10494,17617,104,652
25161,11850,12780,18397,142,1295
29811,14269,16281,22780,288,1499
30475,17230,20047,26162,410,1405
33844,19265,21823,29815,572,1164
30851,21826,24256,29962,910,1089
25755,25390,26520,28821,1235,830
25461,28862,28843,28455,1755,363
28907,36923,35938,32892,1959,296
22227,36357,30568,27869,727,211
17752,29704,25230,20330,556,195
14679,28099,25033,16145,328,123
12737,30090,29137,13887,209,149
8434,28743,18826,9995,68,137
3505,12002,7015,4042,17,67
262,4013,1192,1282,0,15
1,11,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2508,10,763,17,9,0
30857,6725,6780,9260,102,30
74027,28258,18142,33121,472,276
75425,28147,24080,68202,510,327
35169,18068,15664,32732,146,319
20233,12943,12710,20923,119,304
17718,11561,13697,16876,150,246
19390,13713,16067,18655,169,245
19021,14272,16624,20348,160,269
16519,14688,17090,18910,118,186
15581,16280,18293,17654,155,114
22144,24587,24321,20752,298,153
38390,44358,45505,33160,426,191
34538,67930,58800,39760,343,327
20163,55707,37858,25037,142,272
15623,35905,27795,14483,122,172
16189,38039,35225,13880,151,192
9930,39307,23645,10882,63,195
3478,13019,6358,3498,20,61
261,3716,861,924,0,18
0,10,0,0,0,0
0,0,0,0,0,0
